smiles,group
B([C@@H](CC(C)C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,test
B([C@@H](CC(C)C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,training
B1(C2=C(CO1)C=C(C=C2)F)O,test
B1(C2=C(CO1)C=C(C=C2)F)O,training
C,test
C,training
C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,test
C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,training
C#CCNC1CCC2=CC=CC=C12,test
C#CCNC1CCC2=CC=CC=C12,training
C(=N)(N)N,test
C(=N)(N)N,training
C(=NC(=N)N)(N)N,test
C(=NC(=N)N)(N)N,training
C(=O)(N)NO,training
C(=O)(O)O,test
C(=O)(O)O,training
C(=O)([O-])P(=O)([O-])[O-],test
C(=O)([O-])P(=O)([O-])[O-],training
C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3],test
C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3],training
C(=O)([O-])[O-].[Na+].[Na+],test
C(=O)([O-])[O-].[Na+].[Na+],training
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,test
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,training
C(C(=O)O)N,test
C(C(=O)O)N,training
C(C(C(=O)O)S)(C(=O)O)S,test
C(C(C(=O)O)S)(C(=O)O)S,training
C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],test
C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],training
C(C(C(C(C(CO)O)O)O)O)O,test
C(C(C(C(C(CO)O)O)O)O)O,training
C(C(CO)(CO)N)O,test
C(C(CO)(CO)N)O,training
C(C(CO)O)O,test
C(C(CO)O)O,training
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],test
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],training
C(C(CS)S)O,test
C(C(CS)S)O,training
C(C(F)(F)F)(C(F)(F)F)(F)F,test
C(C(F)(F)F)(C(F)(F)F)(F)F,training
C(C(F)(F)F)(OC(F)F)Cl,test
C(C(F)(F)F)(OC(F)F)Cl,training
C(C(F)(F)F)(OC(F)F)F,test
C(C(F)(F)F)(OC(F)F)F,training
C(C(OC(F)F)(F)F)(F)Cl,test
C(C(OC(F)F)(F)F)(F)Cl,training
C(C1=C(SC(=C1C#N)N(CC(=O)[O-])CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Sr+2].[Sr+2],test
C(C1=C(SC(=C1C#N)N(CC(=O)[O-])CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Sr+2].[Sr+2],training
C(C1C(C(C(C(O1)O)F)O)O)O,test
C(C1C(C(C(C(O1)O)F)O)O)O,training
C(C1C(C(C(C(O1)O)O)O)O)O,test
C(C1C(C(C(C(O1)O)O)O)O)O,training
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,test
C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,training
C(C=O)C(C=O)O,test
C(C=O)C(C=O)O,training
C(CC(=O)N)C(C(=O)O)N,test
C(CC(=O)N)C(C(=O)O)N,training
C(CC(=O)O)C(=O)CN,test
C(CC(=O)O)C(=O)CN,training
C(CC(=O)O)CN,test
C(CC(=O)O)CN,training
C(CC(=O)O)CO,test
C(CC(=O)O)CO,training
C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N,test
C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N,training
C(CC(C(=O)O)N)CN=C(N)N,test
C(CC(C(=O)O)N)CN=C(N)N,training
C(CC(C(F)F)(C(=O)O)N)CN,test
C(CC(C(F)F)(C(=O)O)N)CN,training
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,test
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,training
C(CCC(=O)O)CCN,test
C(CCC(=O)O)CCN,training
C(CCCC(=O)O)CCCC(=O)O,test
C(CCCC(=O)O)CCCC(=O)O,training
C(CCl)NC(=O)N(CCCl)N=O,test
C(CCl)NC(=O)N(CCCl)N=O,training
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,test
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,training
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,test
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,training
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[In],test
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[In],training
C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],test
C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],training
C(CN)CNCCSP(=O)(O)O,test
C(CN)CNCCSP(=O)(O)O,training
C(CNCCNCCN)N,test
C(CNCCNCCN)N,training
C(CNCCNCCNCCN)N,test
C(CNCCNCCNCCN)N,training
C(CO)N,test
C(CO)N,training
C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,test
C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,training
C(COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCO)OCCO)OCCO)OCCO)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,test
C(COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCO)OCCO)OCCO)OCCO)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,training
C(CS(=O)(=O)O)S,test
C(CS(=O)(=O)O)S,training
C(CS)N,test
C(CS)N,training
C(CSC[C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])O)O)C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],test
C(CSC[C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])O)O)C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],training
C(C[Ge](=O)O[Ge](=O)CCC(=O)O)C(=O)O,test
C(C[Ge](=O)O[Ge](=O)CCC(=O)O)C(=O)O,training
C(O)(P(=O)(O)O)P(=O)(O)O,test
C(O)(P(=O)(O)O)P(=O)(O)O,training
C(OC(C(F)(F)F)C(F)(F)F)F,test
C(OC(C(F)(F)F)C(F)(F)F)F,training
C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,test
C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,training
C(P(=O)(O)O)P(=O)(O)O,test
C(P(=O)(O)O)P(=O)(O)O,training
C([C@@H]([C@@H]1C(=O)C(=C(O1)[O-])[O-])O)O.[Ca+2],test
C([C@@H]([C@@H]1C(=O)C(=C(O1)[O-])[O-])O)O.[Ca+2],training
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)NS(=O)(=O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O,test
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)NS(=O)(=O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O,training
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.[O-2].[O-2].[O-2].[Fe+3].[Fe+3],test
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.[O-2].[O-2].[O-2].[Fe+3].[Fe+3],training
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.[Na+].[Fe+3],test
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.[Na+].[Fe+3],training
C([C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O)O)O)O)O)O)O,test
C([C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O)O)O)O)O)O)O,training
C/C=C(/C)\C(=O)O[C@H]1C(=C[C@@]23[C@@]1([C@@H](C(=C[C@H](C2=O)[C@H]4[C@H](C4(C)C)C[C@H]3C)CO)O)O)C,test
C/C=C(/C)\C(=O)O[C@H]1C(=C[C@@]23[C@@]1([C@@H](C(=C[C@H](C2=O)[C@H]4[C@H](C4(C)C)C[C@H]3C)CO)O)O)C,training
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,test
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,training
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,test
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,training
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,test
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,training
C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,test
C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,training
C1=C(C(=O)NC(=O)N1)F,test
C1=C(C(=O)NC(=O)N1)F,training
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,test
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,training
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N,test
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N,training
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N.C(C(CO)(CO)N)O,test
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N.C(C(CO)(CO)N)O,training
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,test
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,training
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,test
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,training
C1=C(NC=N1)CCN,test
C1=C(NC=N1)CCN,training
C1=C/C(=C/2\N/C(=C\3/C=CC=CC3=O)/N(N2)C4=CC=C(C=C4)C(=O)O)/C(=O)C=C1,training
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,test
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,training
C1=C2C(=NC=NC2=O)NN1,test
C1=C2C(=NC=NC2=O)NN1,training
C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,test
C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,training
C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl,test
C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl,training
C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,test
C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,training
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,test
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,training
C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-],test
C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-],training
C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,test
C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,training
C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br.C(CS(=O)(=O)O)O,test
C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br.C(CS(=O)(=O)O)O,training
C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,test
C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O,training
C1=CC(=C(C=C1C(CN)O)O)O,test
C1=CC(=C(C=C1C(CN)O)O)O,training
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,test
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,training
C1=CC(=C(C=C1CC(C(=O)O)N)CO)OP(=O)(O)O,test
C1=CC(=C(C=C1CC(C(=O)O)N)CO)OP(=O)(O)O,training
C1=CC(=C(C=C1CCN)O)O,test
C1=CC(=C(C=C1CCN)O)O,training
C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O.C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,test
C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O.C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O,training
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,test
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,training
C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,test
C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,training
C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,test
C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,training
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,test
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,training
C1=CC(=C(C=C1N)C(=O)O)O,test
C1=CC(=C(C=C1N)C(=O)O)O,training
C1=CC(=C(C=C1N)O)C(=O)O,test
C1=CC(=C(C=C1N)O)C(=O)O,training
C1=CC(=C(C=C1N/N=C/2\C=CC(=O)C(=C2)C(=O)O)C(=O)O)O,test
C1=CC(=C(C=C1N/N=C/2\C=CC(=O)C(=C2)C(=O)O)C(=O)O)O,training
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,test
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,training
C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,test
C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,training
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,test
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,training
C1=CC(=CC(=C1)I)CN=C(N)N,test
C1=CC(=CC(=C1)I)CN=C(N)N,training
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,test
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,training
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,test
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,training
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,test
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,training
C1=CC(=CC=C1C(=O)NCC(=O)O)N,test
C1=CC(=CC=C1C(=O)NCC(=O)O)N,training
C1=CC(=CC=C1C(=O)NCCC(=O)O)N/N=C/2\C=CC(=O)C(=C2)C(=O)O,test
C1=CC(=CC=C1C(=O)NCCC(=O)O)N/N=C/2\C=CC(=O)C(=C2)C(=O)O,training
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],test
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],training
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,test
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,training
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,test
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,training
C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@H](CCC(=O)O)C(=O)O,test
C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@H](CCC(=O)O)C(=O)O,training
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,test
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,training
C1=CC(=CC=C1CN)S(=O)(=O)N,test
C1=CC(=CC=C1CN)S(=O)(=O)N,training
C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,test
C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,training
C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,test
C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,training
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,test
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,training
C1=CC(=CC=C1N)S(=O)(=O)N,test
C1=CC(=CC=C1N)S(=O)(=O)N,training
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,test
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,training
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,test
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,training
C1=CC(=CC=C1O)O,test
C1=CC(=CC=C1O)O,training
C1=CC(=CC=C1SC(P(=O)(O)[O-])P(=O)(O)[O-])Cl.[Na+].[Na+],test
C1=CC(=CC=C1SC(P(=O)(O)[O-])P(=O)(O)[O-])Cl.[Na+].[Na+],training
C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,test
C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,training
C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],test
C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],training
C1=CC(=CN=C1)C(=O)[O-],test
C1=CC(=CN=C1)C(=O)[O-],training
C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,test
C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,training
C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,test
C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,training
C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-],test
C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-],training
C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl,test
C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl,training
C1=CC2=C(C=C1Cl)NC(=O)O2,test
C1=CC2=C(C=C1Cl)NC(=O)O2,training
C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,test
C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,training
C1=CC=C(C(=C1)C(=O)O)O,test
C1=CC=C(C(=C1)C(=O)O)O,training
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,test
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,training
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,test
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,training
C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,test
C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,training
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,test
C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl,training
C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl,test
C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl,training
C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)N)N,test
C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)N)N,training
C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,test
C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,training
C1=CC=C(C=C1)C(=O)SCC(=O)NCC(=O)NCC(=O)NCC(=O)O,test
C1=CC=C(C=C1)C(=O)SCC(=O)NCC(=O)NCC(=O)NCC(=O)O,training
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,test
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,training
C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,test
C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,training
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,test
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,training
C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])C3=CC=CC=C3.[Na+].[Na+],test
C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)([O-])[O-])C3=CC=CC=C3.[Na+].[Na+],training
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,test
