task,LOSS,ACC,MAE,MSE,AUC,Precision,Recall,F1,MCC,TP,TN,FP,FN
Carcinogenicity,6.630174160003662,0.3857142925262451,0.6071570515632629,0.5999535918235779,0.501615047454834,0.0,0.0,0.7339448928833008,0.0,0.0,54.0,0.0,86.0
Ames Mutagenicity,8.129935264587402,0.3164912164211273,0.6811105608940125,0.6783647537231445,0.4997103810310364,0.0,0.0,0.810879647731781,-0.008516857400536537,0.0,451.0,2.0,972.0
Respiratory toxicity,2.8954036235809326,0.5627239942550659,0.43104520440101624,0.39647743105888367,0.5813928842544556,0.599078357219696,0.7878788113594055,0.7432432174682617,0.020683685317635536,130.0,27.0,87.0,35.0
Eye irritation,9.614767074584961,0.262452095746994,0.7396430969238281,0.7371558547019958,0.4923342168331146,0.8333333134651184,0.006459948141127825,0.8471299409866333,-0.0011132042855024338,5.0,269.0,1.0,769.0
Eye corrosion,8.43405532836914,0.5882353186607361,0.4117688238620758,0.41176459193229675,0.5,0.0,0.0,0.5923912525177002,0.0,0.0,270.0,0.0,189.0
pgp_in_balanced,4.213935852050781,0.5,0.504048228263855,0.48791542649269104,0.4564671814441681,0.5,0.01149425283074379,0.6666666269302368,0.00677750026807189,1.0,86.0,1.0,86.0
pgp_sub,4.0106201171875,0.4781420826911926,0.5305757522583008,0.4897066652774811,0.42072027921676636,0.4000000059604645,0.08743169158697128,0.6593406200408936,-0.04804776981472969,16.0,159.0,24.0,167.0
bbbp,6.746749401092529,0.6932367086410522,0.3091452121734619,0.30669546127319336,0.49231836199760437,0.0,0.0,0.30821913480758667,-0.020742615684866905,0.0,287.0,2.0,125.0
dili,4.508259296417236,0.4460431635379791,0.5440623760223389,0.5250667929649353,0.4133458435535431,0.0,0.0,0.6824644207954407,-0.15820282697677612,0.0,62.0,4.0,73.0
t12_rat_liver_cat,4.6073126792907715,0.5,0.5069923400878906,0.48457369208335876,0.4818934500217438,0.5,0.07692307978868484,0.6735751032829285,0.014224609360098839,5.0,60.0,5.0,60.0
t12_rat_plasma_cat,5.614315509796143,0.5090090036392212,0.4914086163043976,0.485278457403183,0.5103482604026794,0.75,0.027027027681469917,0.6585366129875183,0.028324192389845848,3.0,110.0,1.0,108.0
t12_human_liver_cat,5.9704718589782715,0.5031055808067322,0.4985005259513855,0.49554556608200073,0.4908375144004822,1.0,0.006211180239915848,0.6481875777244568,0.0163277555257082,1.0,161.0,0.0,160.0
t12_human_plasma_cat,5.191182613372803,0.5150602459907532,0.4840359091758728,0.47066912055015564,0.5308643579483032,0.7272727489471436,0.048192769289016724,0.658436119556427,0.009674429893493652,8.0,163.0,3.0,158.0
hia,9.417162895202637,0.17910447716712952,0.8173348903656006,0.8137125968933105,0.5255050659179688,0.0,0.0,0.8771929144859314,0.0,0.0,36.0,0.0,165.0
herg,2.5781545639038086,0.5251215696334839,0.46824926137924194,0.4277382791042328,0.5596505999565125,0.5324675440788269,0.1375838965177536,0.6513660550117493,0.05117379501461983,41.0,283.0,36.0,257.0
Hepatotoxicity,4.595089912414551,0.4941176474094391,0.5033875107765198,0.4869648516178131,0.5058438777923584,0.38461539149284363,0.019607843831181526,0.6604527235031128,-0.028193805366754532,5.0,247.0,8.0,250.0
CYP2C9_balanced,3.6758813858032227,0.5406871438026428,0.4644538164138794,0.4377259910106659,0.5047403573989868,0.5692307949066162,0.07156673073768616,0.6336632966995239,0.034157536923885345,37.0,561.0,28.0,480.0
CYP2D6_balanced,2.9550743103027344,0.503039538860321,0.4936804473400116,0.4545430541038513,0.5188101530075073,0.48228347301483154,0.7928802371025085,0.6390898823738098,-0.015947265550494194,245.0,86.0,263.0,64.0
CYP3A4_balanced,3.2571163177490234,0.6183155179023743,0.3863474130630493,0.3737609088420868,0.43623775243759155,0.3333333432674408,0.001754386001266539,0.5490004420280457,0.0008027366711758077,1.0,924.0,2.0,569.0
CYP1A2_balanced,3.64540696144104,0.5462555289268494,0.45382168889045715,0.44582125544548035,0.5171189308166504,0.529411792755127,0.012465373612940311,0.6262008547782898,0.00888398103415966,9.0,859.0,8.0,713.0
CYP2C19_balanced,3.752864122390747,0.5051136612892151,0.4988041818141937,0.4807449281215668,0.49370795488357544,0.800000011920929,0.018120044842362404,0.6671738028526306,0.028420154005289078,16.0,873.0,4.0,867.0
Hepatotoxicity_clean,4.309624671936035,0.4878048896789551,0.5095696449279785,0.488209992647171,0.5172516703605652,0.38461539149284363,0.04065040498971939,0.6612021327018738,-0.017703810706734657,5.0,115.0,8.0,118.0
rep_tox,5.541369915008545,0.49707603454589844,0.5007127523422241,0.49638572335243225,0.5001880526542664,0.0,0.0,0.6614172458648682,0.0,0.0,170.0,0.0,172.0
fdamdd2,4.6875410079956055,0.5659574270248413,0.43456628918647766,0.41237154603004456,0.459719717502594,0.3499999940395355,0.0729166641831398,0.551948070526123,-0.06208837404847145,7.0,126.0,13.0,89.0
f20,2.225917100906372,0.5754716992378235,0.39178282022476196,0.3375972509384155,0.42352646589279175,0.1818181872367859,0.25,0.3809523582458496,-0.1473020315170288,6.0,55.0,27.0,18.0
f30,4.958227634429932,0.7358490824699402,0.265949010848999,0.2644684910774231,0.49358972907066345,0.0,0.0,0.35185179114341736,0.0,0.0,78.0,0.0,28.0
skin_disorder(ochem),6.206517696380615,0.4893617033958435,0.5102211833000183,0.4942020773887634,0.5074695348739624,0.4000000059604645,0.042553190141916275,0.6106869578361511,-0.025516321882605553,2.0,44.0,3.0,45.0
rat_tox_bin,4.74313497543335,0.49737393856048584,0.5001030564308167,0.4786446690559387,0.4999558925628662,0.44186046719551086,0.01995798386633396,0.6512467861175537,-0.008371748961508274,19.0,928.0,24.0,933.0
