task,mcc_test,mcc_train,roc_auc_test,roc_auc_train,roc_prc_test,roc_prc_train
Hepatobiliary disorders,0.47805750002757214,0.6334954373356044,0.8137,0.8983,0.7730039696938525,0.9012853089244366
Metabolism and nutrition disorders,0.44308548167725875,0.4756722309931132,0.8123,0.8518,0.8972743278209022,0.9350324336711199
Product issues,-0.026144349280800106,0.7021227065090618,0.2845,0.9981,0.014348038403596617,0.7541030370558234
Eye disorders,0.3852041870039416,0.5380520926427096,0.7531,0.8688,0.835225849239803,0.9177922015249607
Investigations,0.3803400169531631,0.4550570711327684,0.7935,0.9078,0.9428974236547014,0.9762485094298765
Musculoskeletal and connective tissue disorders,0.3659707755703947,0.45779422871436837,0.7835,0.8484,0.9070340050093567,0.9281401839006114
Gastrointestinal disorders,0.24166381579544444,0.3988755583219107,0.802,0.9417,0.9636882229083501,0.9941641106545979
Social circumstances,0.1916377678710255,0.6136690742145466,0.7021,0.9516,0.37798303125908933,0.7659599883594899
Immune system disorders,0.260736838370385,0.3992155281669173,0.7222,0.8184,0.8989193458393617,0.9195167779768934
Reproductive system and breast disorders,0.44921687329846954,0.6164367962451004,0.7813,0.8987,0.7973737213816918,0.911357246062211
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.32693647831528405,0.6918552113285062,0.7798,0.9448,0.4752700542896495,0.8480213464755961
General disorders and administration site conditions,0.30782660668769873,0.3065345375517023,0.8042,0.9,0.9700870185720808,0.9889918400239006
Endocrine disorders,0.4194687902853825,0.6929617146121007,0.7869,0.9445,0.5680968558706306,0.7895671269329237
Surgical and medical procedures,0.17908541802624728,0.6062091414833037,0.6729,0.9532,0.260826823681548,0.7747340558576148
Vascular disorders,0.33670212687075496,0.4496913735323048,0.77,0.8866,0.9099528010038533,0.9645063361851411
Blood and lymphatic system disorders,0.48429389670925027,0.5884553670533588,0.8127,0.9037,0.8701280888351536,0.9422583266552077
Skin and subcutaneous tissue disorders,0.3075936083304029,0.3417394528014817,0.7716,0.9118,0.9684964101674693,0.9927012963968482
"Congenital, familial and genetic disorders",0.25254417635142307,0.5960278284017178,0.7316,0.9351,0.34191720945084836,0.7800804426790874
Infections and infestations,0.30978962707421914,0.4540680631787956,0.7514,0.8486,0.8899570216679865,0.9285129917238649
"Respiratory, thoracic and mediastinal disorders",0.36225107849418337,0.46894333202507377,0.7684,0.8683,0.9042482837251847,0.9501930013644134
Psychiatric disorders,0.41538367104330354,0.49847549165527394,0.8316,0.8797,0.9232908381485836,0.9484200085907273
Renal and urinary disorders,0.46416361401507034,0.5651851166273438,0.7851,0.8812,0.8734975110245896,0.9236179029139995
"Pregnancy, puerperium and perinatal conditions",0.19210622062006097,0.452571926168697,0.7414,0.9698,0.1845263184544868,0.678214579213728
Ear and labyrinth disorders,0.41864669008246214,0.5918497338763424,0.7695,0.881,0.7268642912951493,0.8637581863018624
Cardiac disorders,0.47760044441754107,0.5441025422353708,0.8441,0.8818,0.9281956353746479,0.9434887360933206
Nervous system disorders,0.24764184533615755,0.43466498962742806,0.8615,0.9248,0.9881390723754626,0.992308604605119
"Injury, poisoning and procedural complications",0.2824579450671734,0.4751833978673548,0.7193,0.8398,0.8326085471209557,0.9166692101752181
mean,0.33163930166716554,0.5203299979371206,0.7574148148148149,0.9014185185185185,0.7416241006025551,0.8973942144351331
