task,mcc_test,mcc_train,roc_auc_test,roc_auc_train,roc_prc_test,roc_prc_train
NR-AR,0.34444502514026043,0.5026911826443572,0.7664,0.923,0.9144762171735098,0.9777725722606488
NR-AR-LBD,0.44624001073163794,0.6783133260005907,0.7806,0.9381,0.8511080110674719,0.9658732136659729
NR-AhR,0.13817168627026324,0.28743271614093174,0.7188,0.9332,0.9407469075871631,0.9945360755846921
NR-Aromatase,0.3422307070771671,0.7159249116339468,0.7636,0.9789,0.33609588914844,0.8993524387005636
NR-ER,0.2640643289961113,0.5212178156358258,0.6942,0.8995,0.8631362904491074,0.9558121054514437
NR-ER-LBD,0.4406654892693629,0.5044749650313533,0.7815,0.8946,0.9137944792525833,0.9628314425781932
NR-PPAR-gamma,0.4486465168119516,0.5725298828994227,0.8194,0.9113,0.9095138420671713,0.9630902585081604
SR-ARE,0.3504004116306262,0.623849700362153,0.7543,0.912,0.83291296934323,0.9481935222591529
SR-ATAD5,0.16548078581015455,0.6527624551313053,0.7035,0.9902,0.1648596827162812,0.8687571709375803
SR-HSE,0.4016632088371218,0.6846769141395475,0.761,0.929,0.7414474551567052,0.9184494639597761
SR-MMP,0.527358667142208,0.5900084915560132,0.8746,0.9247,0.9405444381482552,0.96470093208078
SR-p53,0.2571557970433029,0.38876299828930283,0.8352,0.9524,0.9859050522733435,0.9951930796564122
